rho_R_multiset_key,rule,class_count,geometry_false,geometry_true
"Q2:0,1|1,0::R=0,1;Q2:0,1|1,0::R=0,1;Q3:0,1,0|0,1,1|1,0,0|1,0,1::R=0,1,0|0,1,1",constant_false,658,658,0
"Q2:0,1|1,0::R=0,1;Q2:0,1|1,0::R=0,1;Q3:0,1,0|0,1,1|1,0,1::R=0,1,0|0,1,1;Q3:0,1,0|1,0,0|1,0,1::R=0,1,0",constant_false,14,14,0
"Q2:0,1|1,0::R=0,1;Q2:0,1|1,0::R=1,0",constant_false,84,84,0
"Q2:0,1|1,0::R=0,1;Q2:0,1|1,0::R=1,0;Q3:0,0,1|0,1,0::R=0,1,0;Q3:0,1,0|0,1,1|1,0,1|1,1,0::R=0,1,0|0,1,1|1,1,0",constant_false,44,44,0
"Q2:0,1|1,0::R=0,1;Q2:0,1|1,0::R=1,0;Q3:0,0,1|0,1,0::R=0,1,0;Q3:0,1,0|1,0,0|1,0,1::R=0,1,0",constant_false,6,6,0
"Q2:0,1|1,0::R=0,1;Q2:0,1|1,0::R=1,0;Q3:0,0,1|0,1,0|1,0,1::R=0,1,0;Q3:0,1,0|0,1,1|1,0,1|1,1,0::R=0,1,0|0,1,1|1,1,0",constant_false,36,36,0
"Q2:0,1|1,0::R=0,1;Q2:0,1|1,0::R=1,0;Q3:0,0,1|0,1,0|1,0,1::R=0,1,0;Q3:0,1,0|1,0,0|1,0,1::R=0,1,0",constant_false,6,6,0
"Q2:0,1|1,0::R=0,1;Q2:0,1|1,0::R=1,0;Q3:0,1,0|0,1,1|1,0,1|1,1,0::R=1,0,1",constant_false,45,45,0
"Q2:0,1|1,0::R=0,1;Q3:0,0,1|0,1,0::R=0,0,1",constant_false,90,90,0
"Q2:0,1|1,0::R=0,1;Q3:0,0,1|0,1,0|1,1,0::R=0,0,1",constant_false,5,5,0
"Q2:0,1|1,0::R=0,1;Q3:0,0,1|0,1,1|1,1,0::R=0,0,1|0,1,1",constant_false,4,4,0
